epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.56608,0.56367,2e-05,0.00259,21.45416,37.48104,10730.06407,0.69095,0.77083,0.40789,0.001,9.618
2,0.52146,0.51619,4e-05,0.00752,45.16542,40.06234,10038.70531,0.74067,0.79593,0.39077,0.001,9.618
3,0.49121,0.48406,0.0001,0.01345,57.91768,38.69857,10392.47637,0.76063,0.80648,0.38302,0.001,9.618
4,0.47595,0.4674,0.00034,0.02657,58.63919,36.37858,11055.24201,0.78872,0.81225,0.37552,0.001,9.618
5,0.46764,0.45405,0.00015,0.06205,73.70614,24.4131,16473.69428,0.80021,0.81392,0.3716,0.001,9.618
6,0.4669,0.45162,0.00014,0.05951,93.17719,23.60444,17038.06311,0.79289,0.81412,0.37233,0.001,9.618
7,0.46446,0.45029,7e-05,0.03261,108.95592,23.59649,17043.80316,0.7969,0.8146,0.37032,0.001,9.618
8,0.46077,0.4469,2e-05,0.03028,108.40951,24.37498,16499.46251,0.79524,0.81487,0.37045,0.0005,9.618
9,0.45986,0.44716,2e-05,0.02509,101.84874,24.49249,16420.29591,0.7972,0.81437,0.3703,0.0005,9.618
10,0.46047,0.44806,0.0,0.02255,101.48789,24.3786,16497.01076,0.79644,0.81373,0.37066,0.0005,9.618
11,0.46075,0.4481,2e-05,0.02312,103.35954,24.97016,16106.18413,0.79823,0.81391,0.37034,0.00025,9.618
12,0.45764,0.44484,3e-05,0.02892,98.98097,23.61684,17029.12289,0.80408,0.81471,0.36881,0.00025,9.618
13,0.45572,0.442,5e-05,0.03974,97.35252,23.66337,16995.63735,0.80485,0.81488,0.36816,0.00025,9.618
14,0.45593,0.44239,5e-05,0.03659,98.79752,24.07974,16701.76135,0.80191,0.81434,0.36936,0.00025,9.618
15,0.4562,0.4426,5e-05,0.03397,101.98691,23.5622,17068.61229,0.80435,0.81502,0.36879,0.00025,9.618
16,0.45542,0.4408,7e-05,0.04297,103.18969,23.61492,17030.50493,0.80675,0.81539,0.36811,0.00025,9.618
17,0.45573,0.44005,7e-05,0.05345,103.25819,24.25377,16581.91771,0.80804,0.81533,0.36767,0.00025,9.618
18,0.45598,0.43958,2e-05,0.05928,104.68023,31.4652,12781.54726,0.80152,0.81481,0.36932,0.00025,9.618
19,0.45751,0.44254,1e-05,0.04179,107.91355,25.03073,16067.20806,0.80361,0.81406,0.36903,0.00025,9.618
20,0.45606,0.43987,1e-05,0.0557,106.25742,25.30225,15894.79305,0.80362,0.81438,0.36882,0.000125,9.618
21,0.45595,0.44047,1e-05,0.04835,106.44601,24.86579,16173.78623,0.8024,0.81405,0.36915,0.000125,9.618
22,0.45602,0.44103,0.0,0.04458,105.3694,23.53254,17090.12442,0.80199,0.81419,0.36927,0.000125,9.618
23,0.45598,0.44128,0.0,0.04246,104.54124,23.60362,17038.66014,0.80202,0.81408,0.36924,6.25e-05,9.618
24,0.45576,0.44113,0.0,0.04272,103.62821,23.4798,17128.50895,0.80265,0.81409,0.36913,6.25e-05,9.618
25,0.45494,0.44009,1e-05,0.04642,102.0999,23.48728,17123.0553,0.80579,0.81402,0.36854,6.25e-05,9.618
26,0.45407,0.43825,1e-05,0.05802,100.2123,23.50045,17113.45868,0.80647,0.81421,0.36832,3.125e-05,9.618
27,0.45406,0.43864,1e-05,0.05436,99.81649,23.79297,16903.05937,0.80534,0.81402,0.36858,3.125e-05,9.618
