epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.62307,0.61949,1e-05,0.00281,32.92463,31.72488,5537.01114,0.72036,0.65173,0.45706,0.001,9.791
2,0.57405,0.57038,1e-05,0.00294,33.79781,30.36822,5784.36973,0.7374,0.68904,0.44719,0.001,9.791
3,0.55805,0.55298,4e-05,0.00586,44.79192,29.75648,5903.28629,0.74736,0.70025,0.43843,0.001,9.791
4,0.54983,0.54458,0.00019,0.00756,44.73988,29.58991,5936.51768,0.76007,0.70497,0.43504,0.001,9.791
5,0.54725,0.53838,0.00015,0.02191,66.67059,30.397,5778.89287,0.74915,0.70282,0.4369,0.001,9.791
6,0.55152,0.53811,0.00033,0.0399,93.81802,30.89872,5685.05759,0.75908,0.70455,0.43513,0.001,9.791
7,0.55302,0.53364,0.00029,0.06382,129.69856,65.63879,2676.17675,0.76356,0.71236,0.43228,0.001,9.791
8,0.55206,0.53043,0.00022,0.07544,140.68626,30.94592,5676.38596,0.76861,0.71856,0.42977,0.001,9.791
9,0.55025,0.53164,8e-05,0.04728,138.69994,30.65243,5730.73578,0.76349,0.71414,0.43158,0.001,9.791
10,0.54602,0.52793,4e-05,0.05473,126.13016,29.64002,5926.47983,0.76778,0.71442,0.4304,0.001,9.791
11,0.54699,0.52728,4e-05,0.08177,115.37686,30.48692,5761.84878,0.76347,0.71444,0.43169,0.0005,9.791
12,0.54454,0.52978,0.00097,0.04794,98.65609,32.89349,5340.29706,0.75718,0.7037,0.43491,0.0005,9.791
13,0.55848,0.54368,0.00183,0.0631,83.1262,70.08864,2506.26907,0.75759,0.7061,0.43471,0.0005,9.791
14,0.54837,0.53249,0.00073,0.06471,93.35981,71.22669,2466.22437,0.75659,0.70122,0.43642,0.00025,9.791
15,0.54785,0.53263,0.00021,0.05712,94.84164,73.74239,2382.08982,0.75599,0.70353,0.43543,0.00025,9.791
16,0.54516,0.53033,0.00015,0.05748,90.68445,71.42519,2459.37032,0.75957,0.70731,0.43372,0.00025,9.791
17,0.54264,0.5277,0.00015,0.06251,86.72484,70.51688,2491.04898,0.76329,0.70962,0.43231,0.000125,9.791
18,0.54055,0.52561,0.00019,0.06545,83.78022,70.72506,2483.71662,0.76472,0.71134,0.43147,0.000125,9.791
