epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.46342,0.46244,0.0,0.00112,8.68194,164.15775,7033.00953,0.81213,0.84467,0.33958,0.001,6.624
2,0.37731,0.37525,0.0,0.00365,16.98225,89.34526,12922.03921,0.79854,0.84425,0.34114,0.001,6.624
3,0.38255,0.37627,2e-05,0.01694,45.82359,95.36749,12106.04359,0.79646,0.84438,0.34131,0.001,6.624
4,0.38266,0.37596,7e-05,0.02212,44.86483,90.29126,12786.65316,0.81029,0.84669,0.33683,0.0005,6.624
5,0.36953,0.36785,1e-05,0.00849,8.25117,126.60947,9118.77252,0.80755,0.84687,0.33724,0.0005,6.624
6,0.36759,0.36577,1e-05,0.00978,8.3383,90.88094,12703.68747,0.81813,0.84948,0.3334,0.0005,6.624
7,0.3631,0.36182,0.0,0.00624,6.52826,146.24613,7894.3832,0.82014,0.84997,0.33279,0.0005,6.624
8,0.36221,0.36086,0.0,0.00654,6.92603,90.33411,12780.58812,0.82169,0.84989,0.33235,0.0005,6.624
9,0.35973,0.35866,0.0,0.00517,5.54728,101.60409,11362.9579,0.82236,0.85028,0.33205,0.0005,6.624
10,0.35934,0.35804,0.0,0.00594,7.13042,90.66169,12734.4081,0.82411,0.8498,0.33175,0.0005,6.624
11,0.35845,0.35715,0.0,0.00683,6.13612,92.77287,12444.61929,0.8229,0.85047,0.33168,0.0005,6.624
12,0.35799,0.35649,0.0,0.00887,6.15947,89.71682,12868.52371,0.82376,0.85078,0.3312,0.0005,6.624
13,0.35564,0.35441,0.0,0.00695,5.32958,99.514,11601.61384,0.8253,0.85133,0.33059,0.0005,6.624
14,0.35439,0.35341,0.0,0.0052,4.55468,92.28537,12510.35728,0.82677,0.85122,0.33035,0.0005,6.624
15,0.35305,0.35203,0.0,0.00575,4.4093,114.39313,10092.59044,0.82619,0.85174,0.3301,0.0005,6.624
16,0.35177,0.35081,0.0,0.00535,4.25422,91.95324,12555.54494,0.82586,0.85076,0.33049,0.0005,6.624
17,0.35136,0.35042,0.0,0.00523,4.19639,132.87871,8688.5475,0.8271,0.85151,0.32974,0.0005,6.624
18,0.35013,0.34931,0.0,0.00443,3.7963,97.15232,11883.63814,0.82693,0.85162,0.32956,0.0005,6.624
19,0.34874,0.34796,0.0,0.00415,3.6374,91.98762,12550.85213,0.82744,0.85153,0.32945,0.0005,6.624
20,0.34794,0.34717,0.0,0.00403,3.57875,127.17937,9077.91104,0.82739,0.8517,0.3294,0.0005,6.624
21,0.34723,0.34647,0.0,0.00403,3.5564,119.62654,9651.06104,0.82733,0.85163,0.32941,0.0005,6.624
22,0.34664,0.34587,0.0,0.00406,3.65257,107.9618,10693.81025,0.82715,0.85155,0.32917,0.00025,6.624
23,0.34489,0.34418,0.0,0.00371,3.43355,115.76585,9972.91503,0.8272,0.85152,0.32931,0.00025,6.624
24,0.34468,0.34396,0.0,0.00369,3.50203,111.45828,10358.34172,0.82688,0.8513,0.32944,0.00025,6.624
25,0.34437,0.34367,0.0,0.00359,3.45289,101.89246,11330.79896,0.82623,0.85149,0.32972,0.000125,6.624
26,0.34396,0.34327,0.0,0.00358,3.39046,90.50987,12755.76944,0.8268,0.85102,0.3297,0.000125,6.624
27,0.34384,0.34314,0.0,0.00362,3.40906,89.90978,12840.90498,0.82624,0.85127,0.32974,0.000125,6.624
28,0.34379,0.34307,0.0,0.00374,3.46618,110.22301,10474.42793,0.82647,0.85096,0.32977,6.25e-05,6.624
29,0.3434,0.34269,0.0,0.00363,3.46518,136.32731,8468.75786,0.82641,0.85073,0.32981,6.25e-05,6.624
