epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.53771,0.53754,0.0,0.00019,1.54515,2106.61014,4791.5031,0.78435,0.73142,0.42103,0.001,5.59
2,0.53085,0.53074,0.0,0.00019,0.88392,2433.2952,4148.21392,0.78699,0.73329,0.41971,0.001,5.59
3,0.528,0.5279,0.0,0.0002,0.72562,2090.37996,4828.70539,0.78841,0.73149,0.42048,0.001,5.59
4,0.52597,0.52588,0.0,0.00021,0.68096,1920.36636,5256.19966,0.79,0.73523,0.41837,0.001,5.59
5,0.52423,0.52415,0.0,0.00023,0.62292,1843.37677,5475.72757,0.79007,0.73511,0.41834,0.001,5.59
6,0.52285,0.52276,0.0,0.00025,0.68316,1839.13682,5488.35133,0.79098,0.73524,0.41813,0.001,5.59
7,0.52157,0.52147,0.0,0.00028,0.6864,2269.17575,4448.23588,0.7915,0.73609,0.41777,0.001,5.59
8,0.52081,0.5207,0.0,0.00032,0.70899,1934.69682,5217.26656,0.79207,0.73656,0.41743,0.001,5.59
9,0.52024,0.52013,0.0,0.00034,0.75885,2683.17845,3761.89254,0.79201,0.73648,0.41743,0.001,5.59
10,0.51942,0.51931,0.0,0.00036,0.72067,2406.02892,4195.22347,0.79205,0.73576,0.41782,0.001,5.59
11,0.51895,0.51883,0.0,0.00041,0.74911,2125.08364,4749.85022,0.79191,0.73645,0.41753,0.0005,5.59
12,0.51746,0.51734,0.0,0.00047,0.77185,2262.31343,4461.72881,0.79205,0.73659,0.41739,0.0005,5.59
13,0.51733,0.51718,0.0,0.00056,0.86749,1924.79091,5244.11715,0.79153,0.73622,0.41766,0.0005,5.59
14,0.51727,0.51712,0.0,0.00062,0.91509,1891.0084,5337.80231,0.79193,0.73646,0.4175,0.00025,5.59
15,0.51665,0.51648,0.0,0.00071,0.99272,1871.32634,5393.94374,0.79111,0.73602,0.41783,0.00025,5.59
16,0.51669,0.51651,0.0,0.00076,1.04933,1826.83825,5525.29978,0.791,0.73575,0.41806,0.00025,5.59
17,0.5167,0.51651,0.0,0.00084,1.12417,1824.47743,5532.44937,0.79076,0.73578,0.41801,0.000125,5.59
18,0.5164,0.5162,0.0,0.00088,1.16669,1852.71574,5448.12611,0.79054,0.7356,0.41811,0.000125,5.59
