epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.52159,0.51839,1e-05,0.00726,24.77886,2307.59417,4506.10863,0.79144,0.76436,0.40109,0.001,4.068
2,0.4854,0.48486,0.0,0.00141,4.01333,2523.88432,4119.94715,0.805,0.77282,0.39484,0.001,4.068
3,0.48127,0.48081,0.0,0.00132,3.3042,2404.79899,4323.96639,0.80553,0.77089,0.39611,0.001,4.068
4,0.47839,0.47812,0.0,0.00099,1.71409,2354.28702,4416.73846,0.8063,0.77321,0.39422,0.001,4.068
5,0.47707,0.47683,0.0,0.00099,1.4127,2459.54892,4227.71424,0.80686,0.77211,0.39448,0.001,4.068
6,0.47611,0.47584,0.0,0.00113,1.56841,2487.79039,4179.7211,0.8075,0.77308,0.39383,0.001,4.068
7,0.47459,0.47439,0.0,0.00087,1.17089,2399.32894,4333.82427,0.80809,0.77389,0.39323,0.001,4.068
8,0.47392,0.47371,0.0,0.00092,1.10021,2383.83827,4361.98636,0.80806,0.77399,0.39326,0.001,4.068
9,0.47347,0.47319,0.0,0.00109,1.6183,2447.43091,4248.647,0.8087,0.77466,0.39284,0.001,4.068
10,0.47255,0.4723,0.0,0.001,1.50308,2339.55025,4444.55938,0.80845,0.77421,0.39308,0.001,4.068
11,0.47162,0.4714,0.0,0.00093,1.21475,2385.88745,4358.23995,0.80861,0.77445,0.39298,0.001,4.068
12,0.47177,0.47149,0.0,0.0012,1.57766,2344.14135,4435.85453,0.80823,0.77435,0.39306,0.0005,4.068
13,0.47054,0.4702,0.0,0.00142,2.06006,2529.98758,4110.00833,0.80846,0.77436,0.39303,0.0005,4.068
14,0.47014,0.46976,0.0,0.00165,2.12066,2544.90868,4085.91085,0.80853,0.77437,0.393,0.0005,4.068
15,0.46937,0.46907,0.0,0.0014,1.60094,2562.97667,4057.10677,0.80828,0.77411,0.39324,0.00025,4.068
16,0.46854,0.46825,0.0,0.00135,1.61678,2692.64877,3861.72535,0.80827,0.77383,0.3934,0.00025,4.068
17,0.46829,0.468,0.0,0.00128,1.55122,2372.79448,4382.28852,0.80807,0.77391,0.39347,0.00025,4.068
18,0.4681,0.46781,0.0,0.00124,1.62993,2463.34414,4221.2007,0.80811,0.77408,0.39313,0.000125,4.068
19,0.4675,0.46722,0.0,0.0012,1.62939,2395.16605,4341.35662,0.80764,0.77379,0.39348,0.000125,4.068
