epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.43736,0.43641,0.0,0.00242,7.10555,593.90656,5925.71334,0.79798,0.81823,0.36225,0.001,7.166
2,0.41418,0.41334,0.0,0.00288,5.45472,368.05026,9562.06359,0.80323,0.82078,0.35953,0.001,7.166
3,0.42574,0.42216,0.0,0.00998,25.75261,365.1996,9636.70274,0.78771,0.81426,0.3648,0.001,7.166
4,0.42444,0.42063,0.0,0.00892,29.24759,363.63766,9678.09555,0.78646,0.81465,0.36525,0.001,7.166
5,0.4271,0.42325,0.0,0.01048,28.08893,423.89524,8302.33424,0.7844,0.81441,0.36575,0.0005,7.166
6,0.42434,0.42055,0.0,0.00955,28.31838,366.57623,9600.51346,0.79374,0.81724,0.36228,0.0005,7.166
7,0.41482,0.41164,0.0,0.00853,23.25472,367.73397,9570.28794,0.79473,0.81749,0.36189,0.0005,7.166
8,0.41297,0.41069,0.0,0.0071,15.71673,364.98155,9642.45989,0.79691,0.81851,0.36092,0.00025,7.166
9,0.41134,0.4094,0.0,0.00695,12.46554,431.86901,8149.04494,0.79815,0.81907,0.36042,0.00025,7.166
10,0.4103,0.40846,0.0,0.00636,12.04427,383.51237,9176.54895,0.79832,0.81912,0.36029,0.00025,7.166
11,0.40909,0.40746,0.0,0.00583,10.43426,367.09982,9586.82022,0.79937,0.81954,0.3599,0.000125,7.166
12,0.4082,0.40666,0.0,0.00569,9.7173,386.8553,9097.25165,0.79961,0.81961,0.35983,0.000125,7.166
