epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.57752,0.57206,3e-05,0.01186,42.66269,98.64041,1746.02884,0.75553,0.71605,0.42931,0.001,3.411
2,0.55905,0.54987,0.0,0.02727,64.53967,96.43238,1786.00805,0.75793,0.71629,0.42819,0.001,3.411
1,0.57743,0.57182,3e-05,0.01198,44.15354,95.68986,1799.86671,0.75672,0.71699,0.4289,0.001,3.411
2,0.55434,0.54222,0.0,0.04164,79.58654,103.24598,1668.1424,0.77009,0.72776,0.42359,0.001,3.411
3,0.54431,0.53526,1e-05,0.03243,58.07645,95.45301,1804.33289,0.77908,0.73042,0.42027,0.001,3.434
4,0.5353,0.52903,0.00019,0.02541,37.15123,94.08245,1830.61763,0.7808,0.73677,0.41884,0.001,3.434
1,0.57721,0.57185,3e-05,0.01165,41.85186,93.13337,1849.27264,0.75567,0.71727,0.42923,0.001,3.411
2,0.55938,0.54981,0.0,0.02756,68.18651,96.83772,1778.53208,0.75819,0.71586,0.42813,0.001,3.411
3,0.55929,0.5471,0.0,0.02971,92.19461,90.71676,1898.53555,0.75885,0.71837,0.42736,0.001,3.434
4,0.54925,0.5413,0.0,0.02583,53.67833,91.05811,1891.41859,0.76614,0.72315,0.42474,0.001,3.434
1,0.59385,0.58986,2e-05,0.00686,33.02645,44.5848,3862.95336,0.75084,0.71122,0.4337,0.001,6.644
2,0.55882,0.54929,3e-05,0.03471,60.54814,44.00191,3914.12592,0.76852,0.72646,0.42454,0.001,6.644
3,0.5475,0.53849,1e-05,0.03301,57.06069,46.36173,3714.89593,0.77414,0.72892,0.42217,0.001,6.673
4,0.54092,0.53449,1e-05,0.02741,36.81402,50.24124,3428.04007,0.77145,0.72465,0.42303,0.001,6.673
1,0.59566,0.5917,3e-05,0.007,32.52613,48.02162,3586.48849,0.74454,0.70485,0.43602,0.001,6.644
2,0.56188,0.55267,3e-05,0.02831,63.74164,47.61492,3617.12237,0.76749,0.72605,0.42492,0.001,6.644
