epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.59554,0.59009,0.00015,0.00546,48.92811,83.80144,2055.20324,0.75326,0.72111,0.43011,0.001,3.359
2,0.55272,0.54627,2e-05,0.00876,55.76928,84.18122,2045.93136,0.77798,0.7307,0.4223,0.001,3.359
3,0.55502,0.54481,0.00027,0.02195,79.88809,81.56296,2111.60812,0.76039,0.72019,0.427,0.001,3.359
4,0.55711,0.5425,0.00049,0.03562,109.98633,81.29157,2118.65763,0.75695,0.71328,0.42989,0.001,3.359
5,0.55375,0.53572,0.00044,0.07074,109.12608,81.29946,2118.45199,0.7665,0.72358,0.4248,0.0005,3.359
6,0.54729,0.53258,3e-05,0.04154,105.5241,91.18615,1888.76279,0.77489,0.72937,0.42139,0.0005,3.359
7,0.54027,0.52692,7e-05,0.04163,91.78986,95.26177,1807.95515,0.7791,0.73126,0.4198,0.0005,3.359
8,0.53768,0.52488,8e-05,0.0412,86.73632,81.51995,2112.72204,0.76951,0.72386,0.42441,0.0005,3.359
9,0.53968,0.52859,2e-05,0.03876,72.14153,86.1586,1998.97621,0.77614,0.7298,0.4208,0.0005,3.359
10,0.54524,0.53483,0.00013,0.03496,69.06003,89.05442,1933.97469,0.75927,0.71953,0.42727,0.00025,3.359
11,0.54352,0.53406,0.00019,0.03318,61.19839,81.98107,2100.83877,0.76879,0.72493,0.4237,0.00025,3.359
12,0.53705,0.52786,0.00015,0.03404,57.73918,82.05663,2098.90402,0.77439,0.72918,0.42165,0.00025,3.359
