epoch,train_loss,train_bce,train_mono,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.61374,0.61016,0.00011,35.64141,76.12382,2262.48507,0.74169,0.70957,0.43871,0.001,6.57
2,0.5686,0.56183,2e-05,67.63199,80.25726,2145.96151,0.75497,0.72021,0.42973,0.001,6.57
3,0.55389,0.54684,0.0,70.48088,80.07486,2150.84993,0.7647,0.72015,0.42828,0.001,6.57
4,0.55792,0.54924,0.00149,85.37887,100.61314,1711.79434,0.76,0.71938,0.4272,0.001,6.57
5,0.55839,0.54461,0.00027,137.47347,84.17132,2046.17212,0.76474,0.72167,0.42547,0.001,6.57
6,0.55013,0.54036,0.00078,96.96457,94.18176,1828.6875,0.76585,0.72356,0.42522,0.001,6.57
7,0.55334,0.54493,0.00071,83.40847,78.3587,2197.95644,0.7613,0.71959,0.42723,0.001,6.57
8,0.5533,0.54314,0.0001,101.45898,102.70583,1676.91555,0.76966,0.72459,0.42441,0.001,6.57
9,0.5428,0.53356,0.00027,92.08008,95.11396,1810.76468,0.77153,0.72665,0.4228,0.001,6.57
10,0.54581,0.53425,0.00021,115.42813,92.62923,1859.33746,0.7646,0.72111,0.42537,0.001,6.57
11,0.53994,0.52973,0.00014,101.99341,99.24614,1735.37234,0.77305,0.72611,0.42288,0.001,6.57
12,0.54002,0.52862,0.00054,113.40043,98.39488,1750.38576,0.7707,0.72538,0.42299,0.001,6.57
13,0.53601,0.52457,0.00011,114.24862,110.38109,1560.31249,0.77255,0.72628,0.42244,0.001,6.57
14,0.5301,0.52155,6e-05,85.44861,87.10345,1977.29242,0.77447,0.72706,0.42164,0.001,6.57
15,0.53156,0.52339,2e-05,81.70775,83.56975,2060.90114,0.76853,0.7259,0.42349,0.001,6.57
16,0.52931,0.52211,0.00015,71.84713,78.60469,2191.07779,0.7769,0.72892,0.42319,0.001,6.57
17,0.52569,0.51535,7e-05,103.40347,113.04678,1523.51969,0.7749,0.72826,0.42174,0.001,6.57
18,0.51926,0.51099,5e-05,82.56656,98.87669,1741.85637,0.77763,0.73103,0.42021,0.001,6.57
19,0.51698,0.50999,3e-05,69.85457,90.20486,1909.3095,0.76812,0.72262,0.42533,0.001,6.57
20,0.53855,0.53305,1e-05,55.05155,86.62286,1988.26279,0.77098,0.72156,0.42606,0.001,6.57
21,0.53424,0.52961,3e-05,46.20157,100.63719,1711.38525,0.77715,0.72852,0.42264,0.0005,6.57
22,0.51833,0.51162,2e-05,67.06867,99.00853,1739.53698,0.77639,0.72965,0.42079,0.0005,6.57
23,0.51505,0.50529,1e-05,97.61075,1477.54257,116.56449,0.77658,0.72905,0.421,0.0005,6.57
