epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.61177,0.60919,2e-05,0.00103,24.73459,157.57213,1093.01691,0.75518,0.71022,0.43608,0.001,5.357
2,0.56352,0.55998,7e-05,0.00266,32.61441,193.44566,890.32238,0.7694,0.71697,0.43244,0.001,5.357
3,0.55436,0.54725,0.00011,0.0068,64.18923,87.78036,1962.04476,0.7629,0.7236,0.42617,0.001,5.357
4,0.55365,0.54461,3e-05,0.0145,75.89086,41.42748,4157.3612,0.7602,0.70934,0.42995,0.001,5.357
5,0.55321,0.5419,3e-05,0.03319,79.85973,35.60764,4836.85471,0.76757,0.72152,0.42499,0.0005,5.357
6,0.55045,0.53902,1e-05,0.02404,90.30423,37.98901,4533.65357,0.76562,0.72124,0.4252,0.0005,5.357
1,0.61026,0.60763,0.0,0.00113,25.20989,74.78204,2303.07967,0.75808,0.70921,0.43513,0.001,5.357
2,0.5699,0.56482,1e-05,0.00511,45.61898,72.53662,2374.37313,0.75802,0.71657,0.43102,0.001,5.357
3,0.55322,0.54563,1e-05,0.01031,65.65241,71.79354,2398.94853,0.77693,0.73186,0.42169,0.001,5.357
4,0.5432,0.53691,1e-05,0.01105,51.80969,74.04175,2326.10653,0.76844,0.72422,0.42422,0.001,5.357
5,0.5508,0.54033,9e-05,0.01625,88.33132,72.91837,2361.94256,0.77055,0.72699,0.42439,0.001,5.357
6,0.5607,0.54787,8e-05,0.02277,105.45298,71.73252,2400.989,0.75778,0.71837,0.42777,0.0005,5.357
7,0.55914,0.54345,5e-05,0.02726,129.59543,72.46088,2376.85499,0.76747,0.72437,0.4248,0.0005,5.357
8,0.55402,0.53804,0.00014,0.0482,111.46045,72.95908,2360.62455,0.76653,0.72427,0.42481,0.0005,5.357
