epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.61177,0.60885,4e-05,0.00116,28.01841,160.82447,1070.91288,0.75306,0.70934,0.43598,0.001,5.357
2,0.56137,0.55642,3e-05,0.00275,46.70654,153.85848,1119.39884,0.76245,0.72367,0.42674,0.001,5.357
1,0.61212,0.60908,4e-05,0.00126,29.11501,73.91357,2330.14031,0.75454,0.71925,0.43524,0.001,5.357
2,0.56454,0.55982,1e-05,0.0033,43.96283,71.66627,2403.20877,0.75456,0.71886,0.42979,0.001,5.357
3,0.55881,0.54985,0.00027,0.00917,80.11735,74.17259,2322.00328,0.76701,0.72461,0.425,0.001,5.357
4,0.55474,0.5435,9e-05,0.01823,94.0745,113.0457,1523.53434,0.7647,0.72491,0.42582,0.001,5.357
5,0.55678,0.54488,0.0002,0.01868,100.164,112.62049,1529.28652,0.75995,0.71869,0.42776,0.001,5.357
6,0.56036,0.54482,0.00016,0.03343,121.84378,78.62393,2190.54169,0.76684,0.72154,0.42489,0.0005,5.357
7,0.55531,0.54103,4e-05,0.02768,115.13939,72.80782,2365.52891,0.76147,0.71914,0.42687,0.0005,5.357
8,0.55245,0.54071,2e-05,0.0204,96.93923,72.96433,2360.45466,0.76843,0.72399,0.42425,0.0005,5.357
9,0.55012,0.53594,1e-05,0.02814,113.62525,72.81433,2365.31745,0.76643,0.72347,0.42465,0.0005,5.357
10,0.54756,0.53284,3e-05,0.03105,116.11504,71.41023,2411.82523,0.76808,0.725,0.42395,0.0005,5.357
11,0.54537,0.53093,3e-05,0.03233,111.99317,72.56011,2373.60444,0.7699,0.72545,0.42336,0.0005,5.357
12,0.54261,0.52794,5e-05,0.04631,100.30286,71.60218,2405.35979,0.77189,0.72573,0.42265,0.0005,5.357
13,0.54153,0.52605,6e-05,0.06274,92.0105,72.48934,2375.92191,0.77324,0.72772,0.42212,0.0005,5.357
14,0.53786,0.52515,3e-05,0.03958,87.47366,71.44604,2410.61629,0.77194,0.72646,0.42258,0.0005,5.357
15,0.53824,0.52561,3e-05,0.03523,91.00795,71.18599,2419.42265,0.7713,0.72613,0.42277,0.0005,5.357
16,0.54034,0.5276,5e-05,0.04106,86.32475,71.87166,2396.34095,0.76739,0.72298,0.42519,0.00025,5.357
17,0.54295,0.52959,8e-05,0.03084,102.68223,72.80332,2365.67513,0.76653,0.72367,0.42457,0.00025,5.357
18,0.54124,0.52814,6e-05,0.0306,100.29152,71.26675,2416.68084,0.76614,0.7227,0.42465,0.00025,5.357
