epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.41979,0.41903,0.0,0.00263,5.00773,215.79739,5348.99892,0.81614,0.8513,0.33288,0.001,3.404
2,0.37505,0.37216,0.0,0.01047,18.4477,212.40058,5434.54257,0.82446,0.85242,0.32941,0.001,3.404
3,0.37154,0.36789,1e-05,0.01356,22.86726,206.08369,5601.1224,0.81482,0.85138,0.33216,0.001,3.404
4,0.36671,0.36445,1e-05,0.01129,11.29171,182.65468,6319.57542,0.8169,0.85025,0.33175,0.001,3.404
5,0.36603,0.36276,0.0,0.01701,15.64162,175.00208,6595.92178,0.82483,0.85366,0.32792,0.001,3.404
6,0.35777,0.35663,0.0,0.00648,4.94518,176.79895,6528.88485,0.82949,0.85465,0.32629,0.001,3.404
7,0.3545,0.35364,0.0,0.00492,3.70207,182.6534,6319.61964,0.82987,0.85478,0.32571,0.001,3.404
8,0.35181,0.35107,0.0,0.0041,3.27399,178.19742,6477.64713,0.82978,0.85479,0.32575,0.001,3.404
9,0.34995,0.34936,0.0,0.00296,3.00321,185.35538,6227.49677,0.82986,0.85492,0.32527,0.001,3.404
10,0.34744,0.34686,0.0,0.003,2.77173,176.8323,6527.65352,0.82996,0.85407,0.32539,0.001,3.404
11,0.3487,0.34793,0.0,0.00381,3.89197,181.81233,6348.85436,0.82852,0.85345,0.32634,0.001,3.404
12,0.35439,0.35257,2e-05,0.01155,6.64909,176.18994,6551.45241,0.82721,0.8541,0.32631,0.001,3.404
13,0.34756,0.34624,0.0,0.00516,8.0388,172.08692,6707.65698,0.80934,0.84802,0.33352,0.0005,3.404
14,0.35667,0.35248,0.0,0.01394,27.95737,180.67556,6388.79995,0.81296,0.85053,0.33123,0.0005,3.404
15,0.35988,0.35573,0.0,0.01861,22.87389,198.04389,5828.50609,0.8219,0.85214,0.32871,0.0005,3.404
