epoch,train_loss,train_bce,train_mono,train_gs,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.59115,0.59068,0.00012,0.00454,497.58061,346.13286,0.75493,0.7209,0.4295,0.001,3.339
2,0.55464,0.55337,6e-05,0.01264,510.02027,337.6905,0.75721,0.71976,0.42803,0.001,3.339
3,0.55142,0.54937,2e-05,0.02047,345.30362,498.77554,0.75373,0.71532,0.42926,0.001,3.339
4,0.55019,0.54816,1e-05,0.02025,297.65468,578.62016,0.75503,0.71736,0.42864,0.001,3.339
5,0.54799,0.54618,1e-05,0.01813,292.11163,589.59994,0.75453,0.71702,0.42884,0.0005,3.339
6,0.54604,0.54426,0.0,0.01779,332.14496,518.53563,0.75365,0.71607,0.42898,0.0005,3.339
1,0.59057,0.59023,0.0001,0.00332,131.74317,1307.30878,0.7594,0.72326,0.42824,0.001,3.339
2,0.54795,0.54585,7e-05,0.02091,130.69159,1317.82771,0.76809,0.72515,0.42434,0.001,3.339
3,0.54628,0.53823,1e-05,0.08048,131.40156,1310.70738,0.77193,0.72607,0.42304,0.001,3.339
4,0.54186,0.53193,2e-05,0.09924,131.75682,1307.17333,0.7749,0.73055,0.42142,0.001,3.339
5,0.53983,0.52985,1e-05,0.09979,136.01261,1266.27228,0.77168,0.72826,0.42274,0.001,3.339
6,0.54245,0.53625,3e-05,0.06197,126.57141,1360.72597,0.75482,0.69166,0.43839,0.001,3.339
7,0.55323,0.54641,0.00096,0.06722,157.98546,1090.15732,0.77218,0.72399,0.42317,0.0005,3.339
8,0.53875,0.53006,4e-05,0.08685,133.61746,1288.97075,0.77396,0.72738,0.42201,0.0005,3.339
9,0.53648,0.52892,5e-05,0.07558,136.71476,1259.76889,0.76779,0.7236,0.42447,0.0005,3.339
