epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.59733,0.59218,3e-05,0.00437,47.06198,446.35993,385.85229,0.7664,0.72581,0.42717,0.001,3.359
2,0.55901,0.55281,0.00016,0.00681,55.02673,514.70192,334.61892,0.76008,0.72109,0.42719,0.001,3.359
3,0.5548,0.54697,6e-05,0.01084,67.37972,357.64098,481.56954,0.75756,0.71249,0.42941,0.001,3.359
4,0.55713,0.54796,0.00067,0.02563,65.46588,303.56034,567.36332,0.77133,0.72416,0.42355,0.001,3.359
5,0.56034,0.54605,0.00027,0.04152,101.08957,289.80797,594.28663,0.75579,0.71403,0.43049,0.001,3.359
6,0.56007,0.54874,0.00027,0.04375,69.31648,302.01874,570.25932,0.75862,0.72017,0.42734,0.001,3.359
1,0.59642,0.59161,4e-05,0.00417,43.83667,153.78902,1119.90442,0.76281,0.72049,0.43071,0.001,3.359
2,0.56041,0.55257,5e-05,0.00895,69.43334,130.62826,1318.46661,0.75808,0.71693,0.42811,0.001,3.359
3,0.55849,0.54716,5e-05,0.01557,97.63557,143.18873,1202.81113,0.76869,0.72504,0.42404,0.001,3.359
4,0.55869,0.54728,0.00054,0.02893,84.61642,127.63084,1349.43088,0.76573,0.72122,0.42555,0.001,3.359
5,0.55785,0.54038,0.00034,0.04573,128.65159,128.73203,1337.88773,0.77123,0.72491,0.42305,0.001,3.359
6,0.56084,0.54064,0.00018,0.07776,124.05836,130.03998,1324.43111,0.75646,0.72058,0.42851,0.001,3.359
7,0.56196,0.5472,3e-05,0.03446,113.06071,170.48024,1010.25783,0.75684,0.71781,0.42782,0.001,3.359
8,0.55703,0.54618,3e-05,0.02946,79.01023,130.96048,1315.12194,0.75855,0.7194,0.42719,0.0005,3.359
9,0.55217,0.5438,7e-05,0.02678,56.8617,134.14017,1283.94798,0.75501,0.71843,0.42824,0.0005,3.359
10,0.55482,0.54419,2e-05,0.02817,78.0284,134.0013,1285.27857,0.75697,0.7191,0.42766,0.0005,3.359
