epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.59834,0.59215,0.00013,0.00786,53.93556,475.84142,361.94622,0.75142,0.71996,0.43059,0.001,3.359
2,0.56163,0.55293,6e-05,0.01478,72.19311,513.18157,335.61026,0.76104,0.72176,0.4269,0.001,3.359
3,0.55912,0.55006,0.00054,0.0235,66.47727,352.91223,488.02219,0.75897,0.71775,0.42805,0.001,3.359
4,0.55837,0.54849,0.00018,0.01949,79.07221,304.13959,566.28273,0.75743,0.71959,0.42779,0.001,3.359
5,0.55198,0.54638,1e-05,0.01305,42.94677,291.61859,590.59678,0.75753,0.71762,0.42785,0.0005,3.359
6,0.54857,0.54487,0.0,0.00939,27.62657,317.40098,542.62277,0.75697,0.71935,0.42786,0.0005,3.359
1,0.59599,0.5906,0.00014,0.00652,47.27479,135.10738,1274.75641,0.75973,0.72397,0.42821,0.001,3.359
2,0.55896,0.55367,0.00022,0.00929,43.4355,132.10942,1303.6845,0.7628,0.72167,0.42635,0.001,3.359
3,0.55162,0.54539,8e-05,0.01742,44.80697,130.95243,1315.20277,0.76336,0.72013,0.42657,0.001,3.359
4,0.56215,0.54465,8e-05,0.05875,116.19552,129.48133,1330.14542,0.7671,0.72407,0.42475,0.001,3.359
5,0.55357,0.54001,2e-05,0.0551,80.47725,132.59688,1298.89182,0.76585,0.72433,0.42464,0.001,3.359
6,0.54711,0.53512,1e-05,0.05351,66.38722,132.0901,1303.87516,0.7629,0.71755,0.42732,0.001,3.359
7,0.55307,0.54458,0.00028,0.033,51.60041,130.75204,1317.21844,0.75752,0.7191,0.42769,0.0005,3.359
8,0.55428,0.54392,0.00036,0.03757,65.68038,131.3665,1311.05725,0.75982,0.72062,0.42702,0.0005,3.359
9,0.55039,0.54172,0.00011,0.02443,62.09279,132.98671,1295.0843,0.75838,0.71931,0.42729,0.0005,3.359
