epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.57279,0.57169,3e-05,0.00258,8.33255,130.46975,1320.0684,0.7892,0.74681,0.41611,0.001,2.12
2,0.5192,0.51821,0.0,0.0033,6.57995,126.37521,1362.8385,0.80078,0.75158,0.41028,0.001,2.12
3,0.50744,0.50659,0.0,0.00256,5.86918,150.12877,1147.20849,0.80367,0.7534,0.40876,0.001,2.12
4,0.5042,0.50309,0.0,0.00373,7.42204,148.79803,1157.46832,0.80246,0.75031,0.40963,0.001,2.12
5,0.49996,0.49893,0.0,0.00416,6.15068,131.68693,1307.86707,0.80414,0.75228,0.40877,0.001,2.12
6,0.49854,0.49731,0.0,0.00478,7.45521,130.90121,1315.7174,0.80122,0.74548,0.41227,0.001,2.12
7,0.49669,0.49546,0.0,0.00518,7.07915,126.26473,1364.03099,0.80117,0.74932,0.41023,0.001,2.12
8,0.4911,0.48989,0.0,0.0055,6.63341,128.73323,1337.87526,0.80019,0.74658,0.41182,0.0005,2.12
9,0.48701,0.48585,0.0,0.00508,6.5146,131.06544,1314.06873,0.80014,0.74859,0.41103,0.0005,2.12
10,0.48465,0.48342,0.0,0.0055,6.75839,130.97332,1314.99298,0.79896,0.74853,0.4114,0.0005,2.12
