epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.57452,0.57339,3e-05,0.00286,8.35033,502.6277,342.6572,0.78914,0.74559,0.41616,0.001,2.12
2,0.51914,0.51816,0.0,0.00311,6.63048,509.73529,337.87929,0.80214,0.75149,0.40954,0.001,2.12
3,0.50793,0.50706,0.0,0.0028,5.91408,341.58416,504.20663,0.80369,0.75207,0.40929,0.001,2.12
4,0.50385,0.50284,0.0,0.00354,6.56319,289.31528,595.29866,0.80399,0.75265,0.40844,0.001,2.12
5,0.4994,0.49834,0.0,0.00413,6.45721,292.94036,587.93195,0.80133,0.74855,0.41116,0.001,2.12
6,0.49999,0.49867,0.0,0.00582,7.32895,328.8416,523.74456,0.80522,0.75145,0.40795,0.001,2.12
1,0.57478,0.57369,3e-05,0.00271,8.23097,148.98822,1155.99075,0.78874,0.74617,0.41638,0.001,2.12
2,0.5196,0.5186,0.0,0.00328,6.72571,152.96284,1125.9532,0.80215,0.75203,0.40946,0.001,2.12
3,0.50828,0.5074,0.0,0.00278,6.01758,171.65636,1003.33596,0.80315,0.75224,0.4094,0.001,2.12
4,0.50409,0.50309,0.0,0.00345,6.56206,146.97691,1171.80988,0.80391,0.75274,0.40854,0.001,2.12
5,0.4994,0.49836,0.0,0.00395,6.38552,131.70786,1307.65922,0.80454,0.75198,0.40862,0.001,2.12
6,0.49987,0.49855,0.0,0.00552,7.73105,166.14759,1036.60244,0.79836,0.74748,0.41204,0.001,2.12
7,0.49882,0.49744,0.0,0.00668,7.15702,159.11893,1082.39166,0.79945,0.7475,0.41129,0.001,2.12
8,0.4975,0.49576,0.0,0.00911,8.31881,131.50216,1309.70474,0.79624,0.73888,0.41611,0.0005,2.12
9,0.49412,0.49224,0.0,0.01045,8.31476,142.43934,1209.13923,0.80127,0.7504,0.40992,0.0005,2.12
10,0.49041,0.48882,0.0,0.00841,7.49384,129.03973,1334.69743,0.80053,0.74954,0.41022,0.0005,2.12
