epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.59605,0.59007,0.00016,0.00607,53.55507,347.56483,495.53057,0.75291,0.7209,0.43021,0.001,3.359
2,0.55498,0.54774,3e-05,0.00657,65.81687,335.32422,513.61932,0.78287,0.73624,0.41885,0.001,3.359
3,0.55093,0.54419,5e-05,0.01037,57.03173,336.87136,511.26045,0.75686,0.71856,0.42831,0.001,3.359
4,0.55406,0.54394,0.0002,0.02109,79.88821,291.9169,589.99324,0.7675,0.72605,0.42412,0.001,3.359
5,0.55306,0.53941,1e-05,0.03509,101.40497,290.1586,593.56848,0.77124,0.72182,0.42429,0.0005,3.359
1,0.5947,0.58956,8e-05,0.00511,46.27578,149.66907,1150.73208,0.75361,0.72051,0.43012,0.001,3.359
2,0.54989,0.54453,5e-05,0.00507,48.539,156.00164,1104.02042,0.76442,0.71313,0.43169,0.001,3.359
3,0.55704,0.54849,0.00017,0.0124,72.88762,170.30541,1011.29493,0.75598,0.71534,0.42892,0.001,3.359
4,0.55643,0.54367,0.00049,0.03344,93.73603,144.97138,1188.02071,0.77468,0.73225,0.42141,0.001,3.359
5,0.55191,0.53843,0.00019,0.03467,99.89587,131.17269,1312.99436,0.76263,0.70198,0.43273,0.001,3.359
6,0.56307,0.55022,0.00055,0.02959,98.31938,172.08687,1000.8259,0.76607,0.72274,0.42507,0.001,3.359
7,0.54471,0.53216,0.00019,0.04316,82.15119,155.55337,1107.20201,0.77531,0.73133,0.42107,0.001,3.359
8,0.53648,0.52429,0.00017,0.04522,76.58243,130.90899,1315.63917,0.7773,0.7318,0.42024,0.001,3.359
9,0.53231,0.52024,0.00013,0.05067,69.86657,143.94039,1196.53001,0.77903,0.73321,0.41951,0.001,3.359
10,0.52939,0.51579,0.00013,0.05676,79.12224,127.44203,1351.4301,0.78025,0.73323,0.41899,0.001,3.359
11,0.52455,0.51326,6e-05,0.04917,63.65939,130.78845,1316.85172,0.78034,0.73276,0.42024,0.001,3.359
12,0.52441,0.51336,4e-05,0.0584,52.04751,129.21782,1332.85801,0.78003,0.73208,0.41925,0.001,3.359
13,0.52722,0.51658,7e-05,0.04908,57.16608,152.76233,1127.43106,0.77601,0.73019,0.42069,0.001,3.359
14,0.52443,0.51209,6e-05,0.05603,67.39226,147.32206,1169.06458,0.77784,0.72957,0.42052,0.0005,3.359
15,0.52277,0.50806,5e-05,0.07864,68.41465,133.02539,1294.70776,0.78063,0.73381,0.41857,0.0005,3.359
16,0.51723,0.50505,3e-05,0.06745,54.34216,130.87427,1315.98827,0.7799,0.73369,0.41933,0.0005,3.359
17,0.51608,0.50542,2e-05,0.06181,44.69991,128.47132,1340.60272,0.7797,0.73386,0.41907,0.0005,3.359
18,0.51923,0.51019,7e-05,0.04825,42.07983,129.30911,1331.91699,0.77993,0.73315,0.41933,0.00025,3.359
19,0.51301,0.50426,2e-05,0.05032,37.11294,129.27846,1332.23278,0.78159,0.73628,0.41826,0.00025,3.359
20,0.51191,0.50232,2e-05,0.05434,41.52324,130.75912,1317.14712,0.78108,0.73684,0.41851,0.00025,3.359
21,0.51238,0.50285,2e-05,0.05198,43.37143,130.34754,1321.30614,0.78247,0.73641,0.41816,0.00025,3.359
22,0.51222,0.50185,1e-05,0.0569,46.70725,129.30977,1331.91024,0.78001,0.73502,0.41917,0.00025,3.359
23,0.51326,0.50213,1e-05,0.05968,51.66231,131.00117,1314.71349,0.77907,0.73439,0.41949,0.00025,3.359
24,0.51519,0.50457,1e-05,0.05595,50.29285,132.3745,1301.07382,0.77975,0.73525,0.41898,0.000125,3.359
25,0.51318,0.50225,1e-05,0.06154,47.6893,136.0187,1266.21564,0.78099,0.7339,0.41916,0.000125,3.359
