epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.42787,0.42695,0.0,0.00249,6.64771,711.02342,4949.65412,0.79627,0.81891,0.36178,0.001,3.662
2,0.42261,0.42009,0.0,0.00801,17.18667,735.88655,4782.42197,0.78995,0.81404,0.36546,0.001,3.662
3,0.41578,0.41346,0.0,0.01046,12.79153,741.35492,4747.14595,0.79839,0.81862,0.36058,0.001,3.662
4,0.41144,0.40987,0.0,0.0069,8.82401,707.24209,4976.11789,0.79729,0.81865,0.36069,0.001,3.662
5,0.41201,0.40995,0.0,0.00659,13.95159,686.65603,5125.30267,0.79157,0.81648,0.36277,0.001,3.662
6,0.41018,0.40837,0.0,0.00538,12.67874,701.38793,5017.6512,0.80095,0.8197,0.35937,0.001,3.662
7,0.40666,0.4055,0.0,0.00376,7.86209,697.06415,5048.77494,0.8016,0.82044,0.35888,0.001,3.662
8,0.40545,0.40425,0.0,0.00335,8.60738,703.01777,5006.01855,0.80078,0.81998,0.35925,0.001,3.662
9,0.40485,0.40396,0.0,0.00348,5.44203,698.85606,5035.82956,0.79885,0.81811,0.36036,0.001,3.662
10,0.40366,0.40274,0.0,0.00327,5.88025,687.97349,5115.48784,0.80437,0.82149,0.35779,0.001,3.662
11,0.4016,0.40079,0.0,0.00273,5.34132,695.74247,5058.36591,0.80323,0.82049,0.35841,0.001,3.662
12,0.40145,0.40083,0.0,0.0026,3.64998,696.36475,5053.84573,0.79972,0.8186,0.3605,0.001,3.662
13,0.40033,0.39955,0.0,0.00275,5.11887,688.72169,5109.93057,0.80599,0.82215,0.3571,0.001,3.662
14,0.40061,0.39966,0.0,0.00282,6.62048,714.13525,4928.08609,0.80499,0.822,0.3574,0.001,3.662
15,0.39995,0.39931,0.0,0.00247,3.92963,750.88139,4686.91868,0.80386,0.82156,0.35804,0.001,3.662
16,0.39932,0.39869,0.0,0.00255,3.7535,711.02482,4949.64437,0.80613,0.82231,0.35693,0.001,3.662
17,0.39889,0.3983,0.0,0.00252,3.41227,709.09817,4963.09276,0.80715,0.82244,0.35674,0.001,3.662
18,0.39781,0.39723,0.0,0.00246,3.32036,721.85367,4875.39255,0.80702,0.8219,0.35685,0.001,3.662
19,0.39941,0.3987,0.0,0.00247,4.69643,709.01457,4963.67799,0.8066,0.8221,0.35692,0.001,3.662
20,0.39815,0.39755,0.0,0.00238,3.69032,718.95026,4895.08131,0.80181,0.82083,0.35852,0.0005,3.662
21,0.39666,0.39605,0.0,0.00226,3.76953,830.82483,4235.93503,0.80804,0.82269,0.35629,0.0005,3.662
22,0.39643,0.39591,0.0,0.00209,3.03747,716.46006,4912.09515,0.80827,0.82272,0.35619,0.0005,3.662
23,0.39655,0.39576,0.0,0.00229,5.55502,711.98588,4942.96322,0.80761,0.82271,0.35635,0.0005,3.662
24,0.39622,0.39555,0.0,0.00229,4.40554,755.02236,4661.21292,0.80777,0.82258,0.35633,0.0005,3.662
25,0.39526,0.3946,0.0,0.00234,4.22103,713.026,4935.75271,0.80876,0.82293,0.35592,0.0005,3.662
26,0.39517,0.39461,0.0,0.00219,3.44338,838.07812,4199.27439,0.80924,0.82332,0.35573,0.0005,3.662
27,0.39462,0.39413,0.0,0.00199,2.88405,707.28704,4975.80163,0.8086,0.82322,0.356,0.0005,3.662
28,0.39468,0.39406,0.0,0.00221,3.96634,772.97265,4552.96831,0.80826,0.8228,0.35612,0.0005,3.662
29,0.39523,0.39444,0.0,0.00248,5.43821,685.32589,5135.2503,0.80754,0.82276,0.3563,0.00025,3.662
30,0.39392,0.39323,0.0,0.00239,4.56547,724.56441,4857.15272,0.80978,0.82341,0.35552,0.00025,3.662
31,0.3937,0.39304,0.0,0.00225,4.32751,733.62743,4797.14886,0.8101,0.82347,0.35537,0.00025,3.662
32,0.39348,0.39287,0.0,0.00223,3.88077,702.20164,5011.83677,0.80996,0.82338,0.35547,0.00025,3.662
33,0.39294,0.39238,0.0,0.00212,3.54196,764.56312,4603.04704,0.8099,0.82324,0.3556,0.00025,3.662
34,0.39303,0.39246,0.0,0.00214,3.58065,701.76663,5014.94349,0.80988,0.82355,0.35557,0.000125,3.662
35,0.3924,0.39184,0.0,0.00216,3.41938,713.7909,4930.46354,0.81033,0.82363,0.35526,0.000125,3.662
36,0.39233,0.39178,0.0,0.00211,3.48834,695.5188,5059.99264,0.81047,0.8238,0.35526,0.000125,3.662
37,0.39209,0.39154,0.0,0.0021,3.41163,687.903,5116.01201,0.81053,0.82351,0.3553,0.000125,3.662
38,0.39203,0.39148,0.0,0.00212,3.41868,675.5926,5209.23409,0.81039,0.82356,0.35528,0.000125,3.662
39,0.39205,0.39141,0.0,0.00231,4.08792,677.18398,5196.99242,0.81076,0.82359,0.35514,0.000125,3.662
40,0.39195,0.39138,0.0,0.00218,3.47563,775.37389,4538.86835,0.8106,0.82366,0.35519,0.000125,3.662
41,0.39216,0.39157,0.0,0.00222,3.70455,745.80271,4718.8351,0.8103,0.82349,0.35533,0.000125,3.662
42,0.3918,0.39123,0.0,0.0022,3.54328,694.63382,5066.43916,0.81056,0.82364,0.35513,6.25e-05,3.662
43,0.39164,0.39108,0.0,0.00213,3.45784,692.28845,5083.60352,0.81064,0.82375,0.35515,6.25e-05,3.662
44,0.39163,0.39109,0.0,0.00208,3.34184,680.18503,5174.06274,0.81075,0.82368,0.35512,6.25e-05,3.662
