epoch,train_loss,train_bce,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.43774,0.4366,0.00317,8.26567,695.42369,5060.68467,0.79678,0.8177,0.36291,0.001,7.158
2,0.42896,0.42649,0.00754,17.16823,690.7063,5095.24819,0.78759,0.81459,0.36509,0.001,7.158
3,0.41867,0.41717,0.00526,9.75961,699.24846,5033.0036,0.79426,0.81612,0.36342,0.001,7.158
4,0.41577,0.41382,0.0045,15.04617,692.21037,5084.17692,0.79271,0.81639,0.36302,0.0005,7.158
5,0.41582,0.41434,0.00443,10.39803,694.66556,5066.20769,0.77889,0.81116,0.36763,0.0005,7.158
6,0.41388,0.41193,0.00434,15.17185,705.57475,4987.87693,0.79719,0.81847,0.36089,0.0005,7.158
7,0.41179,0.40991,0.00612,12.65055,701.94889,5013.64136,0.79813,0.81942,0.36039,0.0005,7.158
8,0.40957,0.40823,0.00424,9.17428,709.26696,4961.91164,0.80044,0.82018,0.35961,0.0005,7.158
9,0.40838,0.40707,0.00345,9.57498,709.11626,4962.96615,0.80015,0.81994,0.35987,0.0005,7.158
10,0.40979,0.40839,0.00381,10.20815,697.77476,5043.63326,0.80004,0.8198,0.35962,0.0005,7.158
11,0.40711,0.40595,0.00311,8.42608,717.79477,4902.96133,0.79899,0.81989,0.35978,0.00025,7.158
12,0.4063,0.4053,0.00292,7.04623,719.84102,4889.02395,0.79988,0.82003,0.35949,0.00025,7.158
13,0.40665,0.4055,0.00285,8.5879,718.83926,4895.83718,0.80098,0.8205,0.35912,0.00025,7.158
14,0.40582,0.40493,0.00241,6.55701,724.94939,4854.57335,0.80216,0.82078,0.35876,0.00025,7.158
15,0.40611,0.405,0.00252,8.5165,724.56125,4857.17389,0.80162,0.82098,0.35868,0.00025,7.158
16,0.40442,0.40354,0.00236,6.46475,721.15176,4880.13782,0.80187,0.82104,0.35864,0.00025,7.158
17,0.40391,0.40314,0.00221,5.5515,719.60706,4890.61349,0.80331,0.82099,0.35834,0.00025,7.158
18,0.40437,0.4035,0.00225,6.43484,721.07974,4880.62525,0.8027,0.81988,0.35894,0.00025,7.158
19,0.40395,0.40303,0.00223,6.94919,723.18392,4866.4246,0.80358,0.82143,0.35805,0.00025,7.158
20,0.40273,0.40187,0.00216,6.43725,719.73014,4889.77718,0.80249,0.821,0.35874,0.00025,7.158
21,0.40324,0.40227,0.00218,7.52164,724.23654,4859.35161,0.80319,0.82156,0.3581,0.00025,7.158
22,0.40294,0.40188,0.00233,8.24054,722.80214,4868.99502,0.80456,0.82131,0.35779,0.00025,7.158
23,0.4028,0.40191,0.00224,6.62674,718.89361,4895.46711,0.804,0.82122,0.3582,0.00025,7.158
24,0.40189,0.40103,0.00221,6.40485,722.11553,4873.62459,0.80523,0.82185,0.35758,0.00025,7.158
25,0.40189,0.40096,0.00227,7.07738,721.351,4878.78992,0.80461,0.82165,0.3577,0.00025,7.158
26,0.40373,0.4024,0.00268,10.5619,727.51418,4837.459,0.80528,0.82148,0.35768,0.00025,7.158
27,0.40102,0.39996,0.00227,8.40149,718.68452,4896.89131,0.80603,0.82213,0.3573,0.00025,7.158
28,0.40097,0.40003,0.00225,7.17281,719.69431,4890.02063,0.80634,0.82193,0.35721,0.00025,7.158
29,0.40177,0.40075,0.00231,7.87727,719.61,4890.59353,0.8053,0.82129,0.35763,0.00025,7.158
30,0.40153,0.4004,0.00237,8.93471,725.74571,4849.24675,0.80467,0.8218,0.35762,0.00025,7.158
31,0.40048,0.3993,0.00241,9.3692,689.38896,5104.98455,0.80563,0.82189,0.35757,0.000125,7.158
32,0.3996,0.39872,0.00217,6.61708,703.18658,5004.81677,0.80698,0.82245,0.35685,0.000125,7.158
33,0.39901,0.39816,0.00215,6.32345,695.87319,5057.4157,0.80725,0.82246,0.35678,0.000125,7.158
34,0.39901,0.39816,0.00214,6.39113,698.64882,5037.3233,0.80721,0.82254,0.35673,0.000125,7.158
35,0.39955,0.39865,0.0021,6.84808,693.45055,5075.08433,0.80733,0.82245,0.35681,0.000125,7.158
36,0.40039,0.39945,0.00214,7.24331,696.5387,5052.58355,0.80717,0.82246,0.35686,6.25e-05,7.158
37,0.39868,0.39775,0.00215,7.13715,706.52962,4981.13586,0.80743,0.8226,0.35662,6.25e-05,7.158
38,0.39893,0.39803,0.00214,6.8538,708.46987,4967.49425,0.80669,0.82212,0.35703,6.25e-05,7.158
39,0.39923,0.39831,0.00214,7.14056,697.02839,5049.03393,0.80718,0.82235,0.35676,6.25e-05,7.158
40,0.39861,0.39771,0.00213,6.78461,699.33201,5032.40228,0.80745,0.82251,0.35664,3.125e-05,7.158
41,0.39836,0.39749,0.00217,6.53911,703.53603,5002.33089,0.80761,0.82256,0.35656,3.125e-05,7.158
42,0.39824,0.39739,0.00218,6.31155,702.49198,5009.76536,0.80771,0.82264,0.35649,3.125e-05,7.158
43,0.39844,0.39761,0.00209,6.22212,701.55279,5016.47213,0.80751,0.82252,0.35661,3.125e-05,7.158
44,0.39849,0.39766,0.00211,6.21665,700.51873,5023.87713,0.80714,0.82223,0.35688,3.125e-05,7.158
45,0.39889,0.39802,0.00207,6.56236,700.03449,5027.35227,0.8072,0.82233,0.35678,1.5625e-05,7.158
46,0.39878,0.39789,0.0021,6.76635,703.98749,4999.12295,0.80729,0.82238,0.35674,1.5625e-05,7.158
47,0.39885,0.39796,0.00206,6.76064,695.96094,5056.77802,0.80742,0.82245,0.35669,1.5625e-05,7.158
