epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.43624,0.43524,0.0,0.00219,7.78016,756.16658,4654.15965,0.79006,0.8142,0.36501,0.001,6.003
2,0.4339,0.43257,1e-05,0.00403,9.31373,716.19591,4913.90688,0.79069,0.81274,0.36559,0.001,6.002
3,0.42001,0.41842,0.0,0.00507,10.79534,703.62752,5001.68044,0.798,0.81692,0.36167,0.001,6.002
4,0.41845,0.41669,0.0,0.00759,10.08181,661.24291,5322.2801,0.79337,0.8165,0.36291,0.001,6.002
5,0.42106,0.41863,0.0,0.00645,17.81778,663.38878,5305.06406,0.75977,0.80584,0.3738,0.001,6.002
6,0.41861,0.41734,0.0,0.00484,7.86553,663.76861,5302.02839,0.78533,0.81357,0.36653,0.0005,6.002
7,0.41244,0.41139,0.0,0.00253,7.94629,1053.43856,3340.79286,0.79343,0.81768,0.36229,0.0005,6.002
8,0.40979,0.4088,0.0,0.00257,7.42157,659.95797,5332.64262,0.79896,0.81959,0.36001,0.0005,6.002
9,0.409,0.40798,0.0,0.00242,7.84226,656.06737,5364.26617,0.80014,0.81896,0.35993,0.0005,6.002
10,0.40933,0.40781,0.0,0.00336,11.87898,658.96961,5340.64079,0.80123,0.82018,0.35927,0.0005,6.002
11,0.40599,0.40527,0.0,0.00222,4.91908,658.97298,5340.61355,0.80113,0.82039,0.35909,0.0005,6.002
12,0.40574,0.40503,0.0,0.00231,4.72457,659.10278,5339.56177,0.80185,0.82066,0.35877,0.0005,6.002
13,0.40529,0.40455,0.0,0.00214,5.30677,660.67701,5326.83892,0.80341,0.82074,0.35866,0.0005,6.002
14,0.4051,0.40442,0.0,0.00184,5.01056,662.27274,5314.00398,0.80298,0.82032,0.35858,0.0005,6.002
15,0.40334,0.40265,0.0,0.00176,5.22929,660.08701,5331.60012,0.80465,0.82143,0.35787,0.0005,6.002
16,0.4029,0.40225,0.0,0.00171,4.81102,659.38662,5337.26325,0.80399,0.82105,0.3582,0.0005,6.002
17,0.40458,0.40383,0.0,0.00214,5.39436,659.11599,5339.45477,0.80248,0.81996,0.36018,0.0005,6.002
18,0.40725,0.40627,0.0,0.00255,7.24126,663.92938,5300.74451,0.80233,0.82062,0.35866,0.00025,6.002
19,0.4026,0.40186,0.0,0.00183,5.59635,659.91913,5332.95647,0.80427,0.82123,0.35803,0.00025,6.002
20,0.40202,0.4013,0.0,0.00176,5.43642,664.42412,5296.7975,0.80482,0.82122,0.35791,0.00025,6.002
21,0.40175,0.40105,0.0,0.00173,5.28293,660.53434,5327.98947,0.80501,0.82133,0.35771,0.00025,6.002
22,0.40157,0.4008,0.0,0.00187,5.85139,658.42865,5345.02862,0.80508,0.82157,0.35763,0.00025,6.002
23,0.40134,0.40054,0.0,0.00185,6.17525,659.07926,5339.75234,0.80538,0.82143,0.35754,0.00025,6.002
24,0.40081,0.40007,0.0,0.00182,5.57554,658.27852,5346.24763,0.8052,0.82162,0.35761,0.00025,6.002
25,0.40086,0.40008,0.0,0.00181,5.97501,659.96902,5332.55336,0.80546,0.82184,0.35742,0.00025,6.002
26,0.40062,0.39984,0.0,0.00182,6.04289,658.62722,5343.4172,0.80582,0.82181,0.35731,0.00025,6.002
27,0.4006,0.39994,0.0,0.00164,5.00076,659.2761,5338.15803,0.80542,0.82174,0.35741,0.00025,6.002
28,0.40152,0.40084,0.0,0.00169,5.08516,660.89546,5325.07817,0.80488,0.82157,0.3577,0.00025,6.002
29,0.40203,0.40113,0.0,0.00195,7.03015,657.71746,5350.80819,0.80527,0.82159,0.3575,0.000125,6.002
30,0.40088,0.39998,0.0,0.0019,7.1639,657.0538,5356.21286,0.80509,0.82158,0.3576,0.000125,6.002
31,0.40094,0.40013,0.0,0.00171,6.38726,659.2788,5338.13619,0.80548,0.82166,0.35742,0.000125,6.002
