epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.45259,0.45071,1e-05,0.00291,15.8504,778.95504,4518.00145,0.756,0.80568,0.37538,0.001,6.003
2,0.43158,0.43,0.0,0.00362,12.22871,2124.11019,1656.84436,0.78229,0.81225,0.36696,0.001,6.002
3,0.42917,0.4258,0.0,0.00462,29.12472,691.9678,5085.95922,0.77615,0.81052,0.36908,0.001,6.002
4,0.42587,0.42245,0.0,0.00442,29.7309,675.70634,5208.35727,0.77872,0.81238,0.36741,0.001,6.002
5,0.42092,0.41865,0.0,0.00332,19.39263,703.90271,4999.72501,0.78968,0.8153,0.36369,0.001,6.002
6,0.4134,0.41218,0.0,0.00285,9.35235,764.23189,4605.04206,0.79577,0.8186,0.36129,0.001,6.002
7,0.4113,0.41019,0.0,0.00273,8.34031,675.33476,5211.22298,0.79756,0.81902,0.36081,0.001,6.002
8,0.40899,0.40802,0.0,0.00254,7.19847,775.58653,4537.6239,0.79832,0.81942,0.36021,0.001,6.002
9,0.4095,0.40851,0.0,0.00299,6.98293,904.58985,3890.51459,0.7991,0.81929,0.36007,0.001,6.002
10,0.40813,0.40707,0.0,0.00275,7.869,822.69829,4277.7772,0.79856,0.81871,0.36035,0.001,6.002
11,0.40681,0.40586,0.0,0.00281,6.6527,677.2187,5196.72598,0.80215,0.8206,0.35874,0.001,6.002
12,0.41052,0.40908,0.0,0.00366,10.75073,752.14637,4679.03608,0.79818,0.81945,0.36006,0.001,6.002
13,0.40495,0.40399,0.0,0.00271,6.83418,660.4845,5328.39151,0.80049,0.8205,0.35918,0.001,6.002
14,0.40745,0.40631,0.0,0.00355,7.77979,660.72796,5326.42817,0.79745,0.81999,0.35999,0.0005,6.002
15,0.40326,0.40246,0.0,0.00218,5.78618,664.17443,5298.78873,0.80415,0.82129,0.35787,0.0005,6.002
16,0.40149,0.40075,0.0,0.0021,5.21607,1055.21962,3335.15407,0.80412,0.82123,0.35794,0.0005,6.002
17,0.40141,0.40063,0.0,0.00215,5.67354,658.23389,5346.61012,0.80255,0.8209,0.3585,0.0005,6.002
18,0.40194,0.40122,0.0,0.00214,5.03005,657.9326,5349.05854,0.80477,0.82139,0.35779,0.0005,6.002
19,0.40472,0.40385,0.0,0.00243,6.29037,659.66472,5335.0132,0.80298,0.82131,0.3583,0.0005,6.002
20,0.40162,0.40064,0.0,0.00237,7.37963,655.64008,5367.76211,0.80406,0.82138,0.3578,0.0005,6.002
21,0.40432,0.40319,0.0,0.00238,9.00903,659.13314,5339.31582,0.80214,0.82104,0.35823,0.00025,6.002
22,0.40141,0.40055,0.0,0.00212,6.44677,658.61558,5343.51159,0.80423,0.82156,0.35766,0.00025,6.002
23,0.40114,0.40022,0.0,0.00217,7.00498,657.68743,5351.05253,0.80493,0.8218,0.35744,0.00025,6.002
24,0.40001,0.39919,0.0,0.0022,6.03302,659.35367,5337.53,0.80535,0.82194,0.35725,0.00025,6.002
25,0.39966,0.39889,0.0,0.00211,5.65471,660.74247,5326.31117,0.80516,0.82185,0.35734,0.00025,6.002
