epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.4469,0.44548,0.0,0.00263,11.64178,796.64249,4417.69056,0.77013,0.80851,0.37141,0.001,6.003
2,0.43368,0.43208,0.0,0.00534,10.71486,741.84896,4743.98455,0.76805,0.80931,0.37112,0.001,6.002
3,0.42802,0.42664,0.0,0.00696,6.88356,724.63721,4856.66474,0.78343,0.81459,0.36565,0.001,6.002
4,0.42268,0.4209,0.0,0.00701,10.85869,664.16086,5298.89701,0.79093,0.81743,0.36309,0.001,6.002
5,0.42562,0.42316,0.0,0.00697,17.59369,686.5417,5126.1562,0.79098,0.81536,0.36345,0.001,6.002
6,0.41567,0.4143,0.0,0.00583,7.81438,799.05492,4404.35306,0.79535,0.81811,0.36151,0.001,6.002
7,0.41262,0.41138,0.0,0.00565,6.70497,663.76308,5302.07255,0.79832,0.81878,0.3605,0.001,6.002
8,0.41172,0.41078,0.0,0.00479,4.5723,758.73168,4638.42498,0.79143,0.81553,0.36313,0.001,6.002
9,0.41163,0.4105,0.0,0.00507,6.1714,876.51159,4015.14371,0.7976,0.81907,0.36055,0.001,6.002
10,0.40918,0.40817,0.0,0.00451,5.59249,825.97485,4260.80768,0.79342,0.81706,0.36226,0.0005,6.002
11,0.40797,0.40679,0.0,0.00474,7.02769,676.77158,5200.15928,0.80056,0.82014,0.35946,0.0005,6.002
12,0.40533,0.40451,0.0,0.00393,4.28728,781.95945,4500.6426,0.80086,0.82012,0.3592,0.0005,6.002
13,0.40489,0.4041,0.0,0.00324,4.68438,656.7633,5358.58202,0.8023,0.82045,0.35879,0.0005,6.002
14,0.40405,0.40336,0.0,0.00245,4.44924,656.76377,5358.57813,0.8027,0.82085,0.35855,0.0005,6.002
15,0.40372,0.40304,0.0,0.00222,4.56868,662.6424,5311.03954,0.80264,0.82054,0.35861,0.0005,6.002
16,0.40319,0.40254,0.0,0.00204,4.44152,959.4569,3668.03346,0.80332,0.8209,0.35832,0.0005,6.002
17,0.40286,0.40227,0.0,0.00197,3.92181,667.33046,5273.72898,0.80361,0.82107,0.35819,0.0005,6.002
18,0.40348,0.40284,0.0,0.00209,4.29009,657.64537,5351.39477,0.8016,0.82032,0.35886,0.0005,6.002
19,0.4031,0.40243,0.0,0.00208,4.5972,659.17456,5338.9803,0.80363,0.82099,0.35812,0.0005,6.002
20,0.40265,0.40198,0.0,0.00216,4.51045,655.05383,5372.5661,0.80308,0.8207,0.35846,0.00025,6.002
21,0.40143,0.40085,0.0,0.00189,3.96705,657.31923,5354.04994,0.80374,0.82113,0.35805,0.00025,6.002
22,0.40155,0.40099,0.0,0.00192,3.70032,656.80988,5358.20199,0.80397,0.82113,0.35792,0.00025,6.002
23,0.40109,0.40049,0.0,0.00195,4.06641,654.29218,5378.82022,0.80383,0.82123,0.35807,0.00025,6.002
24,0.40193,0.40132,0.0,0.00206,4.06653,659.93235,5332.84961,0.80287,0.82069,0.35867,0.00025,6.002
25,0.40159,0.40098,0.0,0.00214,3.97223,661.19509,5322.66507,0.80367,0.82123,0.35804,0.000125,6.002
26,0.40122,0.40063,0.0,0.00209,3.75949,660.31862,5329.73009,0.80376,0.82133,0.35799,0.000125,6.002
27,0.40106,0.40046,0.0,0.00222,3.85369,659.72845,5334.49786,0.80438,0.82154,0.35775,0.000125,6.002
28,0.40074,0.40013,0.0,0.00215,3.99089,660.52785,5328.04184,0.80466,0.82159,0.35763,0.000125,6.002
29,0.40051,0.3999,0.0,0.00211,4.06707,661.80221,5317.78215,0.80439,0.82132,0.35795,0.000125,6.002
30,0.40034,0.39971,0.0,0.00203,4.24478,659.84888,5333.52424,0.80478,0.82152,0.3577,0.000125,6.002
31,0.40021,0.3996,0.0,0.00193,4.10928,657.76869,5350.39147,0.80483,0.82145,0.35789,0.000125,6.002
32,0.40077,0.40012,0.0,0.002,4.46898,656.63547,5359.62518,0.80479,0.82159,0.35759,0.000125,6.002
33,0.4,0.39935,0.0,0.00203,4.42499,656.45544,5361.09504,0.80325,0.82104,0.35949,6.25e-05,6.002
34,0.3998,0.39912,0.0,0.00202,4.73763,654.76514,5374.9349,0.80558,0.82213,0.35724,6.25e-05,6.002
35,0.39958,0.39895,0.0,0.00193,4.37153,661.73999,5318.28222,0.80554,0.82199,0.35729,6.25e-05,6.002
36,0.39934,0.39869,0.0,0.00201,4.45218,658.29853,5346.08518,0.80564,0.82193,0.35729,6.25e-05,6.002
37,0.39954,0.39888,0.0,0.00204,4.56674,657.67209,5351.17736,0.80558,0.82195,0.35742,3.125e-05,6.002
38,0.39925,0.39857,0.0,0.00207,4.76647,657.03264,5356.38535,0.80566,0.82206,0.35728,3.125e-05,6.002
39,0.39914,0.39846,0.0,0.00202,4.74769,656.71135,5359.00589,0.80571,0.82197,0.35728,3.125e-05,6.002
40,0.39904,0.39837,0.0,0.00203,4.62462,661.14587,5323.06128,0.80582,0.82202,0.35724,3.125e-05,6.002
41,0.39901,0.39835,0.0,0.002,4.67097,630.32283,5583.36114,0.80586,0.82214,0.35715,3.125e-05,6.002
42,0.39892,0.39825,0.0,0.00199,4.69958,664.64086,5295.07018,0.80589,0.82218,0.35717,3.125e-05,6.002
43,0.39906,0.39839,0.0,0.00199,4.71064,655.98614,5364.93042,0.80595,0.82209,0.35716,3.125e-05,6.002
44,0.39879,0.39812,0.0,0.00197,4.68887,659.6467,5335.15899,0.80606,0.82221,0.35712,3.125e-05,6.002
45,0.3988,0.39813,0.0,0.00195,4.74801,662.48515,5312.30021,0.80574,0.82185,0.3574,3.125e-05,6.002
46,0.39881,0.39813,0.0,0.00199,4.79787,656.69766,5359.11761,0.80609,0.82221,0.35707,3.125e-05,6.002
47,0.39874,0.39806,0.0,0.00198,4.77342,654.79889,5374.65786,0.80609,0.8222,0.35709,1.5625e-05,6.002
48,0.39865,0.39797,0.0,0.00202,4.7809,666.53947,5279.98742,0.80625,0.82219,0.35703,1.5625e-05,6.002
49,0.39858,0.3979,0.0,0.00196,4.76695,675.09825,5213.04863,0.80618,0.82223,0.35704,1.5625e-05,6.002
50,0.39863,0.39796,0.0,0.00195,4.79089,680.37639,5172.60746,0.80621,0.82227,0.35703,1.5625e-05,6.002
