epoch,train_loss,train_bce,train_mono,train_gs,train_kl,train_epoch_seconds,train_throughput,val_auc,val_acc,val_rmse,lr,peak_mem_gb
1,0.44124,0.43983,0.0,0.00325,10.86736,677.87831,5191.66925,0.78446,0.81383,0.36633,0.001,6.995
2,0.42058,0.41925,0.0,0.00445,8.88124,674.43337,5218.18782,0.79479,0.8176,0.36254,0.001,6.992
3,0.42444,0.42237,0.0,0.00753,13.08667,682.84848,5153.88127,0.78859,0.81512,0.3644,0.001,6.992
4,0.41624,0.41461,0.0,0.00676,9.49509,682.27782,5158.19198,0.79313,0.81731,0.36257,0.001,6.992
5,0.41492,0.41335,0.0,0.00724,8.49745,674.41968,5218.29373,0.78819,0.81371,0.36526,0.0005,6.992
6,0.41323,0.41144,0.0,0.00703,10.91237,680.12032,5174.55497,0.79751,0.81942,0.36054,0.0005,6.992
7,0.41159,0.40976,0.0,0.00761,10.70434,661.27496,5322.02217,0.79785,0.8194,0.36041,0.0005,6.992
8,0.41074,0.40877,0.0,0.00592,13.77719,674.2346,5219.72615,0.79907,0.81968,0.36008,0.0005,6.992
9,0.40854,0.40703,0.0,0.00544,9.63044,680.91041,5168.55074,0.80066,0.82005,0.35942,0.0005,6.992
10,0.4078,0.40633,0.0,0.00548,9.2323,694.47068,5067.62936,0.80062,0.82009,0.35937,0.0005,6.992
11,0.408,0.40632,0.0,0.00564,11.12127,687.4747,5119.19933,0.80008,0.81931,0.35966,0.0005,6.992
12,0.40634,0.40545,0.0,0.00392,4.90072,698.95629,5035.10745,0.80175,0.82032,0.35904,0.0005,6.992
13,0.40484,0.40406,0.0,0.00373,3.99709,688.40331,5112.2938,0.80228,0.82044,0.35879,0.0005,6.992
14,0.40533,0.40428,0.0,0.0043,6.14351,693.36774,5075.69042,0.80251,0.82092,0.35855,0.0005,6.992
15,0.40509,0.40399,0.0,0.00331,7.69142,694.03135,5070.83723,0.80162,0.82057,0.35879,0.0005,6.992
16,0.40357,0.40276,0.0,0.00297,5.16086,690.46881,5097.00069,0.80267,0.82087,0.35846,0.0005,6.992
17,0.40322,0.40246,0.0,0.00293,4.61755,692.88825,5079.20287,0.80393,0.82099,0.358,0.0005,6.992
18,0.40212,0.40143,0.0,0.00274,4.07983,373.72425,9416.88956,0.80396,0.82114,0.35791,0.0005,6.992
19,0.4016,0.40089,0.0,0.0027,4.38963,344.38731,10219.07575,0.80475,0.82123,0.35785,0.0005,6.992
20,0.40118,0.40049,0.0,0.00261,4.31956,345.99873,10171.48248,0.8041,0.82074,0.35835,0.0005,6.992
21,0.40109,0.40041,0.0,0.00271,4.08685,335.40514,10492.74319,0.80547,0.82178,0.35736,0.0005,6.992
22,0.40015,0.39948,0.0,0.00258,4.11825,346.06968,10169.39702,0.80559,0.82164,0.35738,0.0005,6.992
23,0.40138,0.40058,0.0,0.00284,5.26002,337.31607,10433.30061,0.80418,0.8211,0.35793,0.0005,6.992
24,0.40207,0.40128,0.0,0.00291,5.02573,336.63118,10454.52778,0.80535,0.82156,0.3575,0.0005,6.992
25,0.39979,0.39909,0.0,0.00249,4.5601,340.34164,10340.55079,0.80652,0.8219,0.35707,0.0005,6.992
26,0.39927,0.39858,0.0,0.00245,4.47531,337.39065,10430.99452,0.80667,0.82162,0.35714,0.0005,6.992
27,0.40031,0.39945,0.0,0.00262,5.97155,346.67998,10151.49462,0.80589,0.82155,0.35737,0.0005,6.992
28,0.40011,0.39931,0.0,0.00258,5.39441,341.45885,10306.71769,0.80411,0.82115,0.35789,0.0005,6.992
29,0.39929,0.39837,0.0,0.00264,6.57333,331.4823,10616.91688,0.80316,0.82116,0.35824,0.00025,6.992
30,0.39846,0.39761,0.0,0.00232,6.20097,331.7376,10608.74634,0.80755,0.82205,0.35664,0.00025,6.992
31,0.39948,0.3986,0.0,0.00243,6.44764,337.14126,10438.71037,0.80682,0.82211,0.35689,0.00025,6.992
32,0.39823,0.39745,0.0,0.00223,5.54002,332.8001,10574.8765,0.80675,0.8219,0.35692,0.00025,6.992
33,0.39735,0.39664,0.0,0.00215,4.99005,335.37327,10493.74022,0.80766,0.82237,0.35662,0.00025,6.992
34,0.3974,0.39668,0.0,0.00205,5.0908,331.4815,10616.94236,0.80719,0.82217,0.35674,0.00025,6.992
35,0.39732,0.39658,0.0,0.00217,5.2309,342.16443,10285.46433,0.80757,0.82229,0.35657,0.00025,6.992
36,0.39744,0.39672,0.0,0.00214,4.99373,339.65066,10361.58738,0.80744,0.82223,0.35662,0.000125,6.992
37,0.39722,0.39651,0.0,0.00212,5.03165,338.75472,10388.99162,0.80717,0.82223,0.35679,0.000125,6.992
38,0.39696,0.3963,0.0,0.0021,4.55362,343.14958,10255.93561,0.80727,0.8222,0.35679,0.000125,6.992
